"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"APILKD_00005",83.7168463846178,0.148427619809661,0.45329647442895,0.327440490236871,0.743334746028038,0.893050741397277
"APILKD_00010",109.466891308363,0.0687253585506663,0.423531372146815,0.162267456604946,0.871095240875262,0.949445393920132
"APILKD_00015",177.021248619644,0.516673004702215,0.355529339341608,1.45324997835347,0.146154360250955,0.37982524706182
"APILKD_00020",257.60598094218,0.348278864836837,0.298066485674673,1.16846033209171,0.242621131082024,0.512770134353569
"APILKD_00035",2604.51826939113,0.600929030205165,0.16941598216198,3.54706222244495,0.000389552575079024,0.00422689990642805
"APILKD_00040",9553.17367433443,0.463016187757226,0.320811336964682,1.44326628895973,0.148945472285238,0.384163263664028
"APILKD_00045",10102.9692926782,0.64241819719774,0.122711408553353,5.23519536423891,1.64810444606073e-07,3.94995698905888e-06
"APILKD_00055",962.869414714886,0.25590194290284,0.187079219997227,1.36788010398286,0.171349608467715,0.419286563204608
"APILKD_00060",2800.61994130359,0.282751622026622,0.155611557531787,1.81703484311481,0.0692117783502218,0.235287322145671
"APILKD_00065",1077.63371178109,0.270954952991775,0.150664487249948,1.79839959593311,0.0721137067624658,0.242046814928207
"APILKD_00070",1422.99306570451,0.0767716788703703,0.15450533821773,0.496886902135273,0.619268808425842,0.820493132539644
"APILKD_00075",230.517818640214,0.412574103587978,0.321706046972547,1.28245678771213,0.199682454308749,0.460165655923046
"APILKD_00080",1466.6334222456,0.493292054184666,0.154813468971258,3.18636393501554,0.00144073238629952,0.0127204413198554
"APILKD_00085",2491.64864368995,0.161480784364916,0.145463068771303,1.11011534218899,0.266949326835162,0.541428959081753
"APILKD_00090",4410.60141249923,0.211812141303255,0.122305410235781,1.73182969498178,0.0833038893425785,0.266678084079697
"APILKD_00095",1753.73562411649,0.0837690387851396,0.152485824868639,0.549356235947203,0.58276100157722,0.799119822251788
"APILKD_00100",2047.80468161373,0.0438163069665956,0.122364362370292,0.358080621823545,0.720282980405182,0.882967250937504
"APILKD_00105",4916.79328001985,-0.0416174249755036,0.0981088563147239,-0.424196413440993,0.671422576256064,0.852579855033338
"APILKD_00110",2769.61310110322,-0.334696975668339,0.124476573693759,-2.68883506138087,0.00717018374951774,0.0443154336610595
"APILKD_00115",546.066198457551,-0.448906998131295,0.231182852596327,-1.94178328145791,0.0521633416487847,0.194254222139673
"APILKD_00120",3966.20146535542,-0.0290149434084457,0.104685041591363,-0.277164177110473,0.781654044984601,0.912599607595012
"APILKD_00125",0,NA,NA,NA,NA,NA
"APILKD_00130",984.424113221546,0.265893263869967,0.184566399111278,1.4406374353636,0.149687138655925,0.385064667245874
"APILKD_00135",1323.77568291826,0.334949314379971,0.154511679114463,2.16779285746963,0.0301744505292237,0.132174207551646
"APILKD_00140",653.783412961404,-0.0672076529638582,0.203255412937612,-0.330656153223763,0.74090422556357,0.892311789246578
"APILKD_00145",1734.18609678792,-0.455545015280651,0.158581615505393,-2.8726218599101,0.00407081047294324,0.0286484117133396
"APILKD_00150",698.826827497177,-0.172550352063783,0.195370638495024,-0.883194902739586,0.377130975161694,0.645115835087273
"APILKD_00155",347.36018533437,-0.219729726296204,0.289106671875109,-0.760029939368279,0.447236688976753,0.704924762968839
"APILKD_00160",1028.46951057524,-0.0906436092703961,0.182896043940659,-0.495601803720838,0.620175379967735,0.821189867765749
"APILKD_00165",986.096374290756,0.0853367582327549,0.178509148845959,0.478052574808896,0.632612785568234,0.831786515373776
"APILKD_00170",1425.05409982472,-0.162633473618389,0.137692356416618,-1.18113654127834,0.237548485698794,0.507067871006729
"APILKD_00175",1705.0950624193,0.0534304089083238,0.158071316052248,0.338014576222438,0.735352203380589,0.889848360556483
"APILKD_00180",232.089138109271,-0.275650266101865,0.349005190340613,-0.789817096510349,0.429634593064781,0.688500607162505
"APILKD_00185",396.566375550565,0.13667106307042,0.256928366988641,0.531942286763775,0.594765968276912,0.807527761435685
"APILKD_00190",930.17335340174,0.121847142064558,0.175746599033491,0.693311522013227,0.488114073827716,0.733701782053228
"APILKD_00195",1959.9745683886,-0.465141949560665,0.124757238521257,-3.7283764459199,0.000192717353886416,0.00236188257007386
"APILKD_00200",972.372002144438,-0.00675947030791379,0.164144826480475,-0.0411799168627336,0.967152464111817,0.987457469560215
"APILKD_00205",371.432121758257,0.597658249227981,0.229931115991482,2.59929260400807,0.00934161080496826,0.0546066517786356
"APILKD_00210",1453.0846243882,0.245611554585314,0.140013465370113,1.75419952599603,0.0793963244279376,0.257826675141282
"APILKD_00215",1903.72425663861,0.317759642015325,0.173162613006342,1.83503607677535,0.0665003441852187,0.229505987852027
"APILKD_00220",3784.2224920354,-0.146106562173228,0.118960664964045,-1.22819221141196,0.219374821786604,0.487274466274747
"APILKD_00225",1274.03981906813,-0.587346377802684,0.152740540818538,-3.84538626519908,0.000120362683651542,0.0015639898110625
"APILKD_00230",1954.47623107936,-0.391768269453643,0.134432965970284,-2.91422767195542,0.00356569757481712,0.0261161618637709
"APILKD_00235",1281.48852376669,-0.573937383976534,0.189411795200633,-3.03010371328034,0.00244469773564228,0.0194943179880976
"APILKD_00240",1763.23572972943,-0.36826529089676,0.144894122011874,-2.54161649750416,0.0110341168039996,0.0619595656095896
"APILKD_00245",529.31518585945,0.323290551785144,0.274392051204021,1.1782066950065,0.238714214158381,0.508298677136848
"APILKD_00250",1510.03680655468,0.065903182790338,0.143881127219434,0.458039105363892,0.646924346669325,0.839939516482514
"APILKD_00255",15657.663584339,0.0929735732872199,0.0864511273787257,1.07544662639182,0.282174816085375,0.555125504335365
"APILKD_00260",1299.44019540569,0.0964448687751972,0.152819755533897,0.631102100891692,0.527973767554917,0.765349070306421
"APILKD_00265",1261.74609702142,-0.00297479717314418,0.178632544261661,-0.0166531646595521,0.986713311160711,0.994773638976574
"APILKD_00270",1714.34707523026,0.107719351315741,0.16725621568723,0.644037956216685,0.519550821314075,0.758620674028851
"APILKD_00275",5421.91857733796,0.0548737260177481,0.103663747459829,0.529343452869215,0.59656721736104,0.807527761435685
"APILKD_00280",47076.7449889652,-0.0394996642247793,0.301648900264486,-0.130945825395505,0.895818163331371,0.960721924812934
"APILKD_00285",0,NA,NA,NA,NA,NA
"APILKD_00290",24636.0070238801,0.696437215284874,0.116066965091428,6.00030520946486,1.96946985006824e-09,6.96417453540524e-08
"APILKD_00295",28650.8857517911,0.671299046018653,0.125881607889602,5.33278099376821,9.67199360439274e-08,2.42587095403199e-06
"APILKD_00300",18688.5808241356,0.551441730315304,0.119058365572938,4.63169242800898,3.6268868408705e-06,6.65803822617674e-05
"APILKD_00305",7992.49848642018,0.637608060474608,0.0986612680164726,6.46259746396278,1.02920812757639e-10,4.87912512347752e-09
"APILKD_00310",1811.25362512095,0.454032173038636,0.128479857343529,3.53387824695855,0.000409509672429508,0.00441656181715225
"APILKD_00315",1589.16333201564,0.0432510137923496,0.148072451843732,0.292093588333327,0.770215068803663,0.90463049464171
"APILKD_00320",2134.69051771658,0.0725201412418384,0.162756247644181,0.445575160963297,0.655904156286198,0.843640587423572
"APILKD_00325",1518.64802056749,0.0997250403512236,0.148184338431835,0.672979623937097,0.50096025408635,0.743590981652541
"APILKD_00330",2037.3102354908,-0.231901216805221,0.137807412633951,-1.68279203834417,0.0924153568365248,0.286433719171302
"APILKD_00335",1907.99577166389,-0.209033798413463,0.122220400788905,-1.71030202048264,0.0872100383640199,0.275824124268609
"APILKD_00340",2241.84936465249,-0.395663898626872,0.120229899327115,-3.29089436854948,0.000998694068034578,0.00944817151206397
"APILKD_00345",1626.76958585868,0.0654453960522225,0.16754072882101,0.390623799435301,0.696075331221785,0.868383163357658
"APILKD_00350",2021.25366507523,-0.390080788840739,0.131430032864038,-2.96797299932407,0.00299770662180344,0.0229699935461102
"APILKD_00355",3035.53552893185,-0.283190624374682,0.128188743634103,-2.20916920118205,0.0271628742495835,0.12193614933684
"APILKD_00360",2277.71474964489,-0.362392394439018,0.127579879587328,-2.84051368923705,0.00450409397903398,0.0308176375748978
"APILKD_00365",2631.71730766553,-0.0250410622274538,0.117149088078991,-0.213753795595654,0.830739057892823,0.932871190011813
"APILKD_00370",2765.4305932064,0.131749382800253,0.120280119237132,1.09535460752669,0.27336131242797,0.547375871242113
"APILKD_00375",18795.0465067775,0.60713122758659,0.105309789165413,5.76519269859092,8.1564593132007e-09,2.56839164066772e-07
"APILKD_00380",6466.33479902167,0.475894748085615,0.167630909989788,2.83894389235617,0.004526311497211,0.030847563663457
"APILKD_00385",6535.55759321741,0.0632238409195452,0.109047997928137,0.579779932880654,0.562063031705302,0.789454047709228
"APILKD_00390",6676.31062662532,0.160381045247397,0.109209940864582,1.468557202556,0.141952930192519,0.372302860454621
"APILKD_00395",2255.75626607135,0.413327827211068,0.146420189227467,2.8228882191168,0.0047593162065947,0.0321813324690432
"APILKD_00400",201.334354591372,0.310404923386555,0.353446024896376,0.878224400677756,0.379821952699574,0.647648973891685
"APILKD_00405",807.673507746632,0.458955794797826,0.17730524701368,2.58850655876199,0.00963931113194435,0.0557426115592599
"APILKD_00410",1515.56421109225,0.0296208297231368,0.137765549285265,0.215008976313826,0.82976032013902,0.932669625085913
"APILKD_00415",250.193900693715,0.0440129650101023,0.308113456047539,0.142846617524265,0.88641131911576,0.957910428523394
"APILKD_00420",877.154779961477,0.207605169126612,0.176991961221571,1.17296383233313,0.240810309786784,0.51049418988707
"APILKD_00425",1715.82633682866,-0.0589159942953503,0.141024198819741,-0.417772231917853,0.676113655002111,0.854955162331327
"APILKD_00430",569.975307346172,-0.18082974408242,0.190438518346997,-0.949543955981276,0.342344027038702,0.619768445908671
"APILKD_00435",1188.72229358975,-0.10944652406776,0.152223688926745,-0.718984836324849,0.472150262766727,0.722254204402996
"APILKD_00440",963.215460629133,-0.255486625481869,0.167805694760843,-1.52251463125843,0.12788018214567,0.350047655949504
"APILKD_00445",853.087930734272,-0.621979560041421,0.179446848101825,-3.46609353477463,0.000528079533156642,0.00545020807171297
"APILKD_00450",127.285483549592,-0.719842839524836,0.391742472520591,-1.83754096126761,0.0661300753192573,0.228791596822361
"APILKD_00455",934.218555459131,-1.08287600892997,0.223131192482588,-4.85309112043791,1.21551806124709e-06,2.53321010445407e-05
"APILKD_00460",0,NA,NA,NA,NA,NA
"APILKDKDPD_196",1418.05855734807,-0.639922740710779,0.188999379565363,-3.38584572172878,0.000709592646312483,0.00715229597241134
"APILKD_00465",458.472389919786,0.334725425390555,0.292680353068565,1.14365526035887,0.252766634520229,0.524795223882792
"APILKD_00470",643.079776129611,0.0304482546602874,0.214841850500341,0.141724038353687,0.887297986734034,0.958012465786075
"APILKD_00475",4458.47463307417,0.452095615852312,0.110888757027316,4.0770194199304,4.56166841864276e-05,0.000669355018980438
"APILKD_00480",5343.16600702588,0.459553944577272,0.120740685757059,3.8061233601235,0.00014116199419571,0.00179109659694204
"APILKD_00485",13070.9738558703,0.332451711217116,0.291992925932841,1.13856084066085,0.254886369235235,0.525967469568907
"APILKD_00500",2672.63143341384,0.673283021660858,0.166866285208117,4.03486552613749,5.46335780054959e-05,0.000788258379651202
"APILKD_00505",9550.99754168667,0.455634692662185,0.309450241642961,1.47240050692185,0.140912756365968,0.37066928717243
"APILKD_00510",10184.5622711953,0.656661127376369,0.12244235493518,5.3630226870759,8.18407224328441e-08,2.10155283675768e-06
"APILKD_00520",2319.5014658174,0.298433408876898,0.146097967689862,2.04269377319755,0.0410827616185344,0.165515079330852
"APILKD_00525",1503.99142806575,0.0786746754851388,0.145764250100763,0.5397391708238,0.589376922288109,0.803468451701728
"APILKDKDPD_206",139.911676573406,0.473424222151171,0.494986299229232,0.956439042632824,0.338850467487741,0.614718636140502
"APILKD_00530",1506.12183526336,-0.0148102491495676,0.146407232340023,-0.101157906702119,0.919425110840325,0.971503105098735
"APILKD_00535",829.832524179671,-0.156908298430853,0.182180493384559,-0.861279358266095,0.389084201551446,0.656544926060145
"APILKD_00540",1691.01022658408,-0.0394371929351596,0.130750744900968,-0.301621172139629,0.762940866222118,0.900709567263217
"APILKD_00545",7333.85645252242,0.279425854520219,0.0928636342808291,3.00899115874796,0.00262116743550674,0.0205221711738223
"APILKD_00550",7660.47046723189,0.0954670222032561,0.0951455307155335,1.00337894471033,0.315678059102778,0.591330936591136
"APILKD_00555",803.897234890803,-0.603411681410772,0.190566525616776,-3.16640962759754,0.00154333293249257,0.0134503803449958
"APILKD_00560",330.902501174355,-0.51962567770019,0.271162788611822,-1.91628681929529,0.0553285976610395,0.20159423168051
"APILKD_00565",431.656620674547,0.0181158589736285,0.234000711980954,0.0774179651859481,0.938291049521534,0.975840787761789
"APILKD_00570",725.274618223128,-0.0535309787428133,0.178970038849113,-0.299105811716029,0.764859312056016,0.901743714596739
"APILKD_00575",4836.06268049015,-0.195359790929708,0.0994730668398573,-1.96394659515444,0.049536285497176,0.187387031699464
"APILKD_00580",792.087417372565,-0.25883469052268,0.174221805158344,-1.48566185666274,0.137368584591422,0.365807453041601
"APILKD_00585",549.020687668939,-0.0362881439119767,0.224208452516965,-0.161850026190386,0.871423957146469,0.949447182280592
"APILKD_00590",66.2624585221304,1.08995880900984,0.634498561945168,1.71782707539694,0.0858281614041459,0.272853860204484
"APILKD_00595",831.352085391745,-0.128716338200419,0.195903338427139,-0.657040044513033,0.511155168316017,0.7515757996303
"APILKD_00600",314.929175979394,0.481046816388046,0.25154415534078,1.91237524774267,0.055828080477999,0.202390856495299
"APILKD_00605",461.319973750306,-0.0480241781184045,0.227115509800847,-0.211452657550847,0.832534070729685,0.93311301146476
"APILKD_00610",188.594682138239,-0.312969994819254,0.384316338144233,-0.814355164629501,0.415441515769244,0.676669774535868
"APILKD_00615",76.8959829769577,-1.48845204342845,0.515858043133196,-2.88539078384424,0.00390928075429628,0.027875433345511
"APILKD_00620",166.42217828944,-0.50489500759868,0.38983074892537,-1.29516465540623,0.195263434705206,0.453372689622313
"APILKD_00625",391.526428497621,0.251716811892509,0.25572214875271,0.984337153118192,0.324949767657211,0.600991850490305
"APILKD_00630",1096.61177504919,0.0175019273791202,0.195442839921404,0.0895501077765677,0.928644733258291,0.972931967412341
"APILKD_00635",1898.39590201862,-0.0557601493815206,0.171719955152595,-0.324715606476666,0.745396321936547,0.893931794896164
"APILKD_00640",680.143098623783,0.20587206229556,0.21415768475758,0.961310646071846,0.336395996596035,0.612067620968071
"APILKD_00645",740.805787011414,0.860078928634141,0.196936457005295,4.36729157065629,1.25796746586805e-05,0.000207926116772213
"APILKD_00650",7505.08600291408,0.361774584998,0.103375571018892,3.49961389748343,0.000465932503562495,0.00495081975460247
"APILKDKDPD_231",1747.6200068078,0.298487352298523,0.137779006314968,2.16642114268243,0.030279019772586,0.132478388741314
"APILKD_00655",2445.40527052808,-0.102047370055023,0.12443258486802,-0.82010166519694,0.412158153032404,0.674343854093359
"APILKD_00660",1529.13745053975,-0.498718438313108,0.134312351850634,-3.71312415754376,0.000204716392894818,0.00247379977296427
"APILKD_00665",3299.90670313863,-0.369969059755578,0.127006147797526,-2.91300119066192,0.0035797323641733,0.026174517659396
"APILKDKDPD_228",679.111300993897,-0.492706461043182,0.210363057226863,-2.34217199321185,0.019171877634175,0.0941998634553885
"APILKD_00670",1166.84410005685,-0.47205787121113,0.175691627399549,-2.68685467940711,0.00721283257188443,0.044515249950085
"APILKD_00675",5243.97166457041,-0.426287282172868,0.119364216367625,-3.57131555121984,0.000355192647727777,0.00387924324632311
"APILKD_00680",629.541362383062,0.0135280197515867,0.206564084363793,0.065490667427749,0.947783336698948,0.980106963153873
"APILKD_00685",1421.1251377352,0.22609204274007,0.153620828678305,1.47175382847026,0.141087365902494,0.370803270968415
"APILKD_00690",3649.25615858711,-0.113425556577605,0.131887477220449,-0.860017637520011,0.389779320132654,0.656839057442293
"APILKD_00695",4943.36752881127,0.253466473656296,0.0984322452540105,2.57503496950831,0.0100229952466992,0.0574296734879987
"APILKD_00700",162666.97831779,0.0997572435158177,0.0962182533853023,1.03678086024222,0.299837997467739,0.575533039727848
"APILKD_00705",5296.65710651587,0.0947104950226229,0.100228580942966,0.944944986066565,0.344686963076119,0.620091559095236
"APILKD_00710",8653.76882889741,-0.0455087207290378,0.0900526524473606,-0.505356805071783,0.613308251612915,0.816733246972635
"APILKD_00715",2862.91944623618,0.0598701965419566,0.119285885222885,0.501905120040727,0.615734263548161,0.818339989383308
"APILKD_00720",6452.41624227548,-0.00231391342348673,0.110229763515688,-0.0209917299074801,0.983252252801382,0.993853524107278
"APILKD_00725",262.187397121822,0.090384182759014,0.328298006666119,0.275311396730274,0.783077009349907,0.912940304943605
"APILKD_00730",157.249615402246,-0.470303037068346,0.382542624321843,-1.2294134226273,0.218916840217041,0.487058921452457
"APILKD_00735",87.9082774552407,-0.173427498327678,0.474790467364321,-0.365271651915037,0.714908637107863,0.880190552612044
"APILKD_00740",71.7552699751768,0.177939861182578,0.505220555883186,0.352202338385693,0.724686523389849,0.885135238364612
"APILKD_00745",59.3401554647734,0.84974490362401,0.708329554906706,1.19964626315209,0.230276751128819,0.499202967019963
"APILKD_00750",162.398042467069,-0.480645279062782,0.443992299261187,-1.08255318811292,0.2790067949788,0.551620217020414
"APILKD_00755",108.278779495707,1.04948346381094,0.532602817764274,1.97048049467029,0.0487833282871534,0.185419628397163
"APILKD_00760",156.006602261887,0.610592291036507,0.405623849943997,1.50531654171915,0.13224271435882,0.357396721419874
"APILKD_00765",46.3474700266231,-0.968093678999157,0.723505087024477,-1.33806063891076,0.180876670402637,NA
"APILKD_00770",117.164538641932,-1.66094749708212,0.507288146167336,-3.27416973889673,0.00105972934254536,0.0099168598345785
"APILKD_00775",168.577392096012,-0.524276455003543,0.448893551099425,-1.16793046752285,0.242834813278707,0.512770134353569
"APILKD_00780",161.296728255365,0.0274278706290037,0.384676318396619,0.0713011675460726,0.943158066029062,0.978842481764901
"APILKD_00785",418.591949616932,-0.0765958631807334,0.247847526851765,-0.309044290873818,0.757287835510683,0.897757549434758
"APILKD_00790",819.926630688476,0.218094130727156,0.19921963623579,1.09474213911839,0.273629621761183,0.547375871242113
"APILKD_00795",1105.5298333707,0.263721397026462,0.183884788184313,1.43416646711487,0.151524763830663,0.387667122732186
"APILKD_00800",370.423719421463,-0.443477363059563,0.246382384892429,-1.79995563908997,0.0718676431072525,0.241595544758307
"APILKD_00805",296.767546016015,0.399302389303064,0.259165794190661,1.54072180146315,0.123384508420281,0.342082756635664
"APILKD_00810",167.217548606548,0.533627519774781,0.371100402889372,1.43795995805981,0.150445415784576,0.385862974848192
"APILKD_00815",204.204539604533,-0.444858214038409,0.380801536840527,-1.16821538518293,0.242719896098766,0.512770134353569
"APILKD_00820",422.183789279249,0.277313974223973,0.266199935098613,1.04175072064252,0.297527266780328,0.573201719077308
"APILKD_00825",7289.35877654346,0.0107994879049579,0.107481799670917,0.100477363963232,0.919965352823243,0.971672977067583
"APILKDKDPD_214",0,NA,NA,NA,NA,NA
"APILKD_00830",1517.74198430975,0.026559205979254,0.136339904522155,0.194801412486967,0.845548416469412,0.937482295172107
